widget_id,widget_type,field,current_value,translation_en
a63ec2b,heading,title,"New Handmade Jewelry Collection",
41d91a9,heading,title,"N",
de9f99f,text-editor,editor,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.</p>",
b5c6c26,button,text,"EXPLORE MORE",
b286d77,image-box,title_text,"Bliss golden ring",
b286d77,image-box,description_text,"$249",
d7692eb,image-box,title_text,"Carla golden earrings",
d7692eb,image-box,description_text,"$159",
e5d5e88,heading,title,"T",
b69c078,heading,title,"In our store, you will be able to find all types of jewelry to impress your other half.",
d27c964,text-path,text,"Caroline Taylor",
aa9f14c,heading,title,"I'll show you how! Let's create something together.  ",
8ee1e40,text-editor,editor,"<p>Vitae turpis massa sed elementum tempus egestas. Nulla at volutpat diam ut venenatis tellus in metus vulputate. Duis ut diam quam nulla porttitor massa. Mauris a diam maecenas sed enim ut sem viverra. Lacus vestibulum sed arcu non odio euismod lacinia at. Rhoncus aenean vel elit scelerisque.</p>",
66b0355,button,text,"Read More",
fe73a0b,heading,title,"ะก",
7198d60,heading,title,"All Categories",
36d6d17,text-editor,editor,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut elit tellus, luctus nec ullamcorper mattis.</p>",
a716240,heading,title,"Necklaces",
7277aba,heading,title,"N",
45f0249,heading,title,"Rings",
b3c724c,heading,title,"R",
a13fba6,heading,title,"Earrings",
f0d74ec,heading,title,"E",
ff8c45e,heading,title,"B",
ed0677b,heading,title,"Best Seller Product",
e3faacf,text-editor,editor,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut elit tellus, luctus nec ullamcorper mattis.</p>",
089f1a2,button,text,"View All",
1afbf89,icon-box,title_text,"Free <br>Delivery",
0bb9125,icon-box,title_text,"Money Back Guarantee",
dd372af,icon-box,title_text,"24/7 <br>Support",
cb29a89,icon-box,title_text,"High <br>quality",
336de17,heading,title,"""Caroline made me a custom necklace that exceeded my expectations. She got it done quickly and beautifully and at a reasonable price.""",
2b92b68,heading,title,"P",
3b51957,image-box,title_text,"Mable Perry",
3b51957,image-box,description_text,"San Jose, CA",
c38eeb9,heading,title,"G",
b7583cf,heading,title,"Get Inspired",
6aa77bf,text-editor,editor,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut elit tellus, luctus nec ullamcorper mattis.</p>",
830ebcf,heading,title,"Handcrafted & ethically sourced",
e0debb4,heading,title,"A collection of Exotic diamonds",
7d24c9b,heading,title,"Make your life shiny like a jewel",
5261630,heading,title,"P",
5fadd93,heading,title,"Perfect Match<br> for Every Occasion",
f3aa39f,text-editor,editor,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut elit tellus, luctus nec ullamcorper mattis.</p>",
b30c0d5,image-box,title_text,"Indian Sterling Ring",
b30c0d5,image-box,description_text,"$249",
fccae1f,image-box,title_text,"Carla golden earrings",
fccae1f,image-box,description_text,"$159",
f6b3c56,image-box,title_text,"Fremada Chain",
f6b3c56,image-box,description_text,"$249",
9bfa9bf,image-box,title_text,"Silver Earrings",
9bfa9bf,image-box,description_text,"$159",
f8182ee,heading,title,"A",
ccf5a6b,heading,title,"Antique Diamond Necklaces - 20%",
9d45e17,text-editor,editor,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing luctus nec mattis, pulvinar.</p>",
be2b046,button,text,"All Products",
720d585,heading,title,"F",
e97ae93,heading,title,"Follow Us",
70145bd,text-editor,editor,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut elit tellus, luctus nec ullamcorper mattis.</p>",
f8be32a,heading,title,"@jewelry.shop",